entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.333,5.473,5.428,5.552,5.52,5.543,5.433,5.278,5.514,5.458,5.369,5.362,5.29,5.313,5.411,5.367,5.34,5.268,5.343,5.287,5.508,5.497,5.377,5.342,5.45,5.407,5.392,5.157,0.864,0.222,-0.121,0.24,-0.407,-0.045,-0.813,0.299,0.672,-0.335,1.006,1.386,-0.759,0.715,0.323,0.577,-0.837,-1.37,-0.253,-0.975,0.6,-0.579,-0.973,2.055,-0.068,0.496,-0.2,0.489,-0.607,-0.211,-0.167,0.054,0.001,0.247,-0.14,-0.722,-0.002,-0.134,-0.302,-0.416,-0.607,-0.421,-0.432,-0.504,-0.508,-0.588,-0.585,-0.633,0.089,-0.057,-0.378,-0.617,-0.113,-0.361,-0.328,-0.832,-6.549,-6.639,-6.793,-6.735,-6.821,-6.484,-6.717,-6.394,-6.802,-6.228,-6.494,-6.677,-6.286,-6.546,-6.613,-6.888,-6.629,-6.324,-6.167,-6.764,-6.691,-6.835,-6.241,-6.466,-6.895,-6.364,-6.428,-7.019,0.818,0.897,15.703,0.316,0.208,0.0,36.6
5.333,5.398,5.482,5.454,5.45,5.416,5.417,5.322,5.514,5.442,5.397,5.393,5.362,5.386,5.443,5.396,5.446,5.3,5.374,5.396,5.471,5.504,5.395,5.338,5.484,5.43,5.368,5.322,0.515,0.247,-0.102,0.196,-0.367,0.058,-0.417,0.324,0.53,-0.117,0.522,0.766,-0.298,0.435,0.301,0.345,-0.558,-0.513,-0.15,-0.371,0.525,-0.413,-0.765,0.825,-0.015,0.5,-0.066,0.338,-0.495,-0.351,-0.07,-0.057,-0.127,-0.119,-0.229,-0.508,-0.009,-0.221,-0.313,-0.497,-0.41,-0.283,-0.171,-0.272,-0.257,-0.529,-0.354,-0.385,0.091,0.04,-0.336,-0.484,0.041,-0.235,-0.34,-0.476,-5.091,-4.821,-5.141,-4.974,-5.247,-4.823,-5.227,-4.515,-4.829,-4.905,-5.041,-5.203,-4.999,-5.35,-4.681,-4.994,-4.998,-4.66,-4.21,-5.324,-5.416,-5.173,-4.492,-4.963,-5.256,-4.794,-5.071,-5.198,0.926,0.962,18.108,0.415,0.247,0.0,32.583
5.398,5.419,5.465,5.506,5.435,5.376,5.409,5.41,5.494,5.442,5.449,5.418,5.36,5.431,5.497,5.462,5.443,5.316,5.379,5.432,5.53,5.514,5.404,5.41,5.482,5.465,5.438,5.417,0.241,0.235,-0.023,0.151,-0.229,0.059,-0.168,0.36,0.41,-0.014,0.419,0.457,-0.115,0.312,0.253,0.272,-0.276,-0.252,-0.043,-0.221,0.443,-0.419,-0.53,0.397,-0.034,0.294,-0.006,0.224,-0.328,-0.228,0.086,-0.12,-0.031,-0.156,-0.208,-0.345,-0.004,-0.205,-0.122,-0.271,-0.208,-0.161,-0.066,-0.051,-0.149,-0.343,-0.317,-0.109,0.101,0.086,-0.239,-0.225,0.094,-0.129,-0.221,-0.13,-4.349,-4.09,-4.611,-4.16,-4.422,-4.168,-4.213,-3.489,-4.548,-4.196,-4.441,-4.346,-4.308,-4.519,-4.23,-4.322,-4.553,-4.066,-2.993,-4.158,-4.583,-4.619,-3.791,-4.009,-4.719,-3.789,-4.088,-4.506,0.93,0.961,16.229,0.669,0.431,0.0,31.487
5.445,5.484,5.577,5.46,5.476,5.399,5.431,5.383,5.462,5.453,5.455,5.477,5.429,5.472,5.458,5.495,5.447,5.421,5.237,5.51,5.499,5.522,5.398,5.457,5.517,5.46,5.432,5.522,0.173,0.124,-0.101,0.073,-0.165,0.14,-0.071,0.224,0.307,0.108,0.361,0.275,-0.015,0.149,0.252,0.193,-0.219,-0.39,-0.023,-0.037,0.288,-0.414,-0.478,0.347,-0.095,0.36,-0.097,0.17,-0.189,-0.131,0.123,-0.125,0.016,-0.104,-0.182,-0.32,0.013,-0.177,-0.053,-0.19,-0.184,-0.131,-0.038,-0.004,-0.161,-0.181,-0.472,0.047,0.132,0.091,-0.215,-0.155,0.11,-0.073,-0.205,0.003,-3.705,-3.874,-4.301,-3.726,-4.065,-3.564,-3.676,-3.028,-3.975,-3.922,-3.948,-3.866,-3.812,-4.004,-3.486,-4.006,-3.94,-3.62,-1.891,-3.851,-4.388,-4.129,-2.985,-3.804,-4.314,-3.425,-3.631,-3.942,0.944,0.972,17.5,0.764,0.522,0.0,32.245
5.434,5.451,5.487,5.426,5.491,5.406,5.424,5.349,5.444,5.432,5.477,5.472,5.403,5.5,5.433,5.464,5.464,5.423,5.188,5.46,5.511,5.508,5.332,5.435,5.447,5.459,5.402,5.446,0.105,0.111,-0.247,0.04,-0.162,0.12,-0.037,0.151,0.22,0.162,0.263,0.267,0.114,0.138,0.277,0.192,-0.099,-0.159,0.094,-0.066,0.212,-0.376,-0.469,0.3,-0.038,0.24,-0.26,0.083,-0.198,-0.14,0.113,-0.284,0.016,-0.105,-0.182,-0.421,-0.05,-0.204,-0.084,-0.196,-0.242,-0.155,-0.125,-0.048,-0.144,-0.207,-0.583,0.035,0.064,0.048,-0.32,-0.183,0.047,-0.124,-0.263,-0.051,-3.419,-3.638,-4.129,-3.173,-3.708,-3.425,-3.385,-2.619,-3.947,-4.006,-3.722,-3.795,-3.641,-4.071,-3.331,-4.169,-4.051,-3.15,-1.619,-3.707,-4.154,-4.053,-2.297,-3.468,-4.236,-3.229,-3.136,-4.0,0.958,0.977,17.333,0.854,0.611,0.0,33.697
5.37,5.406,5.518,5.388,5.483,5.446,5.369,5.351,5.452,5.408,5.512,5.459,5.459,5.416,5.357,5.461,5.418,5.336,5.08,5.468,5.52,5.504,5.334,5.389,5.471,5.454,5.369,5.488,0.142,0.022,-0.201,-0.001,-0.011,0.119,0.002,0.124,0.195,0.078,0.279,0.209,0.077,0.046,0.195,0.167,-0.097,-0.201,0.058,-0.075,0.18,-0.308,-0.303,0.08,0.05,0.143,-0.199,0.084,-0.158,-0.166,0.065,-0.307,0.102,-0.106,-0.221,-0.487,-0.043,-0.245,-0.08,-0.15,-0.217,-0.16,-0.279,-0.019,-0.099,-0.309,-0.795,0.007,0.017,0.016,-0.475,-0.19,0.05,-0.105,-0.336,-0.042,-3.053,-3.349,-3.929,-2.464,-3.668,-3.129,-2.817,-1.976,-3.657,-3.934,-3.345,-3.626,-3.376,-3.808,-2.172,-3.845,-3.744,-2.494,-0.965,-3.679,-3.908,-3.947,-1.458,-3.225,-3.884,-2.811,-2.678,-3.562,0.954,0.978,19.696,0.884,0.66,0.0,34.97
5.424,5.451,5.492,5.399,5.478,5.48,5.319,5.338,5.506,5.435,5.471,5.465,5.43,5.391,5.325,5.494,5.49,5.365,5.035,5.509,5.495,5.497,5.208,5.4,5.535,5.429,5.315,5.462,0.087,0.047,-0.207,0.046,-0.045,0.176,0.089,0.091,0.133,0.248,0.144,0.185,0.239,0.017,0.039,0.207,-0.079,-0.043,0.072,-0.018,0.077,-0.22,-0.364,-0.054,0.096,0.079,-0.236,0.005,-0.145,-0.132,0.076,-0.305,0.116,-0.054,-0.288,-0.528,-0.029,-0.237,-0.052,-0.087,-0.186,-0.187,-0.413,-0.0,-0.076,-0.373,-0.835,0.026,0.026,0.018,-0.693,-0.184,0.048,-0.1,-0.454,-0.059,-2.774,-3.293,-3.887,-2.296,-3.646,-3.009,-2.788,-1.483,-3.506,-3.941,-3.285,-3.683,-3.327,-3.803,-1.256,-3.647,-3.779,-1.711,-0.955,-3.408,-3.916,-3.796,-0.84,-3.01,-3.863,-2.82,-2.124,-3.478,0.972,0.984,15.286,0.901,0.706,0.0,35.761
5.414,5.374,5.515,5.364,5.473,5.464,5.299,5.299,5.441,5.418,5.465,5.456,5.384,5.41,5.291,5.49,5.426,5.311,4.945,5.481,5.485,5.51,5.03,5.366,5.483,5.448,5.192,5.472,-0.003,-0.065,-0.248,0.004,0.011,0.172,0.192,0.061,0.131,0.204,0.1,0.118,0.259,-0.004,0.131,0.172,0.017,-0.027,0.018,0.014,0.008,-0.197,-0.116,-0.082,0.032,0.14,-0.148,-0.129,-0.133,-0.226,0.098,-0.383,0.143,-0.084,-0.275,-0.601,-0.062,-0.294,-0.079,-0.139,-0.181,-0.21,-0.506,-0.032,-0.089,-0.537,-0.904,-0.025,-0.012,0.016,-1.147,-0.213,0.006,-0.125,-0.592,-0.074,-2.733,-3.02,-3.953,-2.046,-3.64,-2.924,-2.438,-1.165,-3.428,-3.823,-3.215,-3.554,-3.255,-3.846,-1.111,-3.723,-3.675,-1.384,-1.037,-3.361,-3.793,-3.728,-0.691,-2.997,-3.956,-2.664,-1.819,-3.32,0.952,0.977,18.292,0.923,0.741,0.0,35.405
5.43,5.434,5.484,5.333,5.494,5.433,5.225,5.274,5.478,5.439,5.489,5.442,5.455,5.374,5.276,5.507,5.47,5.269,4.829,5.493,5.493,5.462,4.89,5.432,5.45,5.388,5.177,5.535,-0.096,-0.088,-0.222,-0.117,0.062,0.119,0.191,-0.065,0.151,0.15,0.08,0.025,0.256,-0.089,0.108,0.149,0.028,-0.031,0.069,0.049,-0.029,-0.23,-0.084,-0.157,0.049,-0.015,-0.14,-0.029,-0.166,-0.189,0.067,-0.403,0.122,-0.051,-0.424,-0.64,-0.075,-0.256,-0.071,-0.148,-0.193,-0.24,-0.531,-0.076,-0.063,-0.572,-1.042,-0.034,0.006,0.015,-1.44,-0.231,-0.023,-0.126,-0.747,-0.07,-2.639,-2.993,-3.78,-1.934,-3.501,-2.81,-2.178,-1.194,-3.218,-4.012,-2.981,-3.516,-3.006,-3.938,-1.108,-3.709,-3.604,-1.116,-0.843,-3.436,-3.71,-3.818,-0.506,-2.783,-3.793,-2.359,-1.68,-3.189,0.964,0.981,16.778,0.937,0.772,0.0,35.447
5.39,5.44,5.556,5.349,5.499,5.466,5.246,5.314,5.516,5.386,5.461,5.464,5.425,5.435,5.308,5.407,5.498,5.259,4.84,5.494,5.529,5.491,4.726,5.407,5.498,5.401,5.17,5.446,-0.033,-0.144,-0.168,-0.055,0.027,0.213,0.226,-0.164,0.159,0.291,0.05,0.073,0.255,-0.044,-0.024,0.178,-0.033,-0.106,0.098,-0.025,0.023,-0.225,-0.136,-0.164,0.113,0.092,-0.161,-0.063,-0.153,-0.193,0.131,-0.381,0.135,-0.045,-0.386,-0.61,-0.03,-0.278,-0.089,-0.173,-0.155,-0.247,-0.501,-0.102,-0.055,-0.619,-1.034,-0.017,0.002,0.024,-1.597,-0.196,-0.007,-0.13,-0.675,-0.055,-2.47,-2.985,-3.925,-1.863,-3.788,-2.845,-2.075,-1.042,-3.261,-4.047,-2.842,-3.639,-3.027,-3.886,-1.077,-3.666,-3.669,-1.093,-0.98,-3.459,-3.86,-3.861,-0.42,-2.722,-3.877,-2.411,-1.659,-3.267,0.97,0.984,16.6,0.939,0.762,0.0,35.512
