entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.156,5.317,5.283,5.336,5.471,5.427,5.328,5.442,5.184,5.519,5.326,5.209,5.32,5.423,5.315,5.287,5.403,5.321,5.27,5.425,5.323,5.242,5.379,5.315,5.272,5.349,5.225,5.385,0.761,-0.878,-0.376,0.022,-0.073,1.634,0.976,-1.066,-0.45,-0.902,0.229,-0.238,-1.116,0.897,0.775,1.078,-0.133,-1.356,1.092,-0.519,1.118,-0.79,-0.826,-1.464,0.53,-0.488,-0.982,0.704,-0.98,-0.601,-0.61,-0.543,-0.228,-0.116,-0.489,-0.263,-0.845,0.086,-0.423,-0.889,-0.564,-0.17,-0.666,-0.739,-0.042,-0.45,-0.691,-0.203,-0.582,-0.776,-0.332,-0.583,-0.694,-0.404,-0.78,-0.293,-6.925,-7.414,-7.224,-7.793,-7.097,-7.613,-7.512,-7.506,-6.992,-7.047,-7.248,-7.87,-7.244,-7.429,-7.223,-6.931,-7.358,-7.512,-7.392,-7.309,-6.924,-7.236,-7.089,-7.279,-7.065,-7.134,-7.293,-7.739,0.75,0.123,17.048,1.0,0.097,24.451,29.587
5.322,5.351,5.354,5.494,5.482,5.459,5.426,5.439,5.298,5.462,5.442,5.346,5.402,5.517,5.433,5.356,5.483,5.394,5.332,5.45,5.424,5.359,5.429,5.352,5.342,5.425,5.337,5.454,0.612,-0.648,-0.289,-0.061,-0.13,0.674,0.636,-0.633,-0.374,-0.649,0.149,-0.188,-0.563,0.682,0.763,0.64,-0.111,-0.792,0.631,-0.339,0.754,-0.537,-0.651,-0.917,0.466,-0.325,-0.51,0.405,-0.515,-0.284,-0.342,-0.138,-0.141,-0.063,-0.279,-0.142,-0.544,-0.037,-0.149,-0.507,-0.257,0.009,-0.334,-0.414,0.045,-0.294,-0.495,-0.054,-0.275,-0.415,-0.167,-0.451,-0.452,-0.158,-0.385,-0.033,-5.372,-5.667,-5.926,-6.209,-5.813,-6.024,-5.991,-5.994,-5.574,-5.76,-5.768,-5.922,-5.683,-5.955,-6.018,-5.761,-6.135,-6.216,-5.937,-5.918,-5.782,-5.639,-5.626,-6.041,-5.836,-5.84,-5.714,-6.179,0.8,0.102,17.83,0.999,0.112,27.341,34.916
5.389,5.425,5.423,5.531,5.45,5.414,5.463,5.451,5.399,5.458,5.424,5.394,5.426,5.483,5.455,5.404,5.499,5.433,5.369,5.495,5.419,5.407,5.45,5.428,5.381,5.414,5.4,5.504,0.537,-0.451,-0.331,-0.075,-0.102,0.383,0.454,-0.353,-0.244,-0.566,0.225,-0.121,-0.522,0.49,0.702,0.431,-0.114,-0.603,0.419,-0.217,0.542,-0.434,-0.382,-0.604,0.382,-0.122,-0.388,0.292,-0.357,-0.225,-0.262,0.004,-0.144,-0.07,-0.127,-0.138,-0.295,-0.123,-0.172,-0.317,-0.133,-0.024,-0.197,-0.32,0.003,-0.191,-0.305,-0.022,-0.109,-0.224,-0.008,-0.3,-0.4,-0.102,-0.254,0.029,-4.403,-4.903,-4.945,-5.115,-4.825,-5.253,-5.113,-5.18,-4.518,-4.999,-4.754,-5.144,-4.708,-5.255,-4.864,-4.862,-5.029,-5.137,-4.845,-5.006,-4.603,-4.768,-4.612,-5.051,-4.671,-4.889,-4.646,-5.294,0.892,0.061,20.5,0.998,0.142,29.699,31.87
5.391,5.477,5.421,5.488,5.435,5.515,5.458,5.421,5.421,5.44,5.393,5.414,5.464,5.494,5.486,5.478,5.464,5.433,5.46,5.452,5.471,5.457,5.498,5.459,5.395,5.503,5.449,5.473,0.382,-0.377,-0.248,-0.119,-0.06,0.237,0.392,-0.226,-0.196,-0.538,0.149,0.13,-0.358,0.278,0.628,0.362,-0.195,-0.446,0.206,-0.123,0.496,-0.483,-0.227,-0.457,0.169,-0.148,-0.277,0.239,-0.266,-0.129,-0.264,0.117,-0.117,0.011,-0.022,-0.091,-0.221,-0.095,-0.17,-0.205,-0.092,0.05,-0.109,-0.209,-0.003,-0.101,-0.145,-0.005,-0.069,-0.11,0.032,-0.125,-0.384,-0.02,-0.15,0.068,-3.82,-4.309,-4.316,-4.63,-4.661,-4.837,-4.687,-4.893,-4.212,-4.722,-4.196,-4.765,-4.192,-5.002,-4.503,-4.362,-4.954,-4.948,-4.422,-4.989,-4.066,-4.213,-4.134,-4.634,-3.969,-4.68,-4.077,-4.903,0.924,0.04,19.105,0.998,0.182,34.541,31.125
5.348,5.457,5.407,5.474,5.464,5.473,5.491,5.46,5.414,5.402,5.433,5.457,5.464,5.482,5.421,5.469,5.487,5.456,5.464,5.482,5.433,5.465,5.504,5.508,5.389,5.439,5.422,5.479,0.374,-0.21,-0.269,-0.078,-0.051,0.155,0.308,-0.175,-0.17,-0.438,-0.043,-0.011,-0.386,0.194,0.577,0.239,-0.179,-0.351,0.243,-0.088,0.383,-0.403,-0.253,-0.405,0.244,-0.059,-0.309,0.114,-0.332,-0.123,-0.232,0.134,-0.122,0.037,0.031,-0.118,-0.228,-0.124,-0.218,-0.114,-0.141,0.04,-0.094,-0.163,0.017,-0.109,-0.124,-0.037,-0.137,-0.104,-0.005,-0.028,-0.439,-0.005,-0.202,0.06,-3.196,-3.885,-3.994,-4.237,-4.276,-4.625,-4.349,-4.511,-3.821,-4.491,-3.974,-4.193,-3.969,-4.648,-4.202,-3.916,-4.764,-4.286,-3.951,-4.636,-3.574,-3.942,-4.013,-4.476,-3.076,-4.316,-3.58,-4.725,0.916,0.044,18.976,0.999,0.198,36.991,30.902
5.393,5.414,5.411,5.529,5.452,5.478,5.539,5.451,5.454,5.436,5.43,5.49,5.444,5.468,5.475,5.46,5.507,5.412,5.445,5.46,5.449,5.424,5.549,5.496,5.357,5.489,5.443,5.474,0.213,-0.167,-0.211,-0.099,-0.038,0.176,0.267,-0.089,-0.026,-0.482,0.081,0.053,-0.342,0.185,0.553,0.34,-0.219,-0.243,0.175,-0.131,0.315,-0.267,-0.153,-0.283,-0.141,-0.074,-0.057,0.182,-0.294,-0.129,-0.211,0.079,-0.16,0.029,0.072,-0.112,-0.165,-0.152,-0.185,-0.112,-0.152,-0.008,-0.106,-0.173,0.011,-0.126,-0.112,-0.071,-0.285,-0.139,0.01,-0.006,-0.394,-0.012,-0.22,0.012,-2.762,-3.311,-3.712,-4.1,-4.062,-4.353,-4.24,-4.375,-3.693,-4.209,-3.572,-4.084,-3.58,-4.399,-4.059,-3.614,-4.311,-4.291,-3.751,-4.524,-2.976,-3.524,-3.927,-4.354,-2.212,-4.13,-2.691,-4.242,0.918,0.044,19.293,0.999,0.24,44.439,33.307
5.328,5.476,5.437,5.535,5.442,5.432,5.518,5.501,5.435,5.4,5.457,5.493,5.392,5.513,5.458,5.402,5.477,5.485,5.464,5.467,5.412,5.468,5.487,5.522,5.396,5.418,5.401,5.517,0.195,-0.101,-0.278,-0.178,-0.031,0.141,0.216,0.015,-0.035,-0.334,-0.059,0.019,-0.327,0.135,0.466,0.114,-0.164,-0.256,0.18,-0.055,0.295,-0.352,-0.082,-0.328,-0.047,0.013,-0.179,0.086,-0.307,-0.089,-0.146,0.11,-0.147,-0.017,0.112,-0.094,-0.11,-0.144,-0.191,-0.033,-0.186,0.027,-0.048,-0.12,0.023,-0.083,-0.071,-0.005,-0.35,-0.074,0.034,0.035,-0.314,-0.015,-0.207,0.042,-2.308,-2.835,-3.607,-3.888,-3.886,-4.313,-4.167,-4.235,-3.397,-4.226,-3.386,-4.075,-3.433,-4.316,-3.968,-3.554,-4.473,-4.295,-3.448,-4.38,-2.548,-3.657,-3.72,-4.356,-1.962,-3.928,-2.085,-4.278,0.914,0.045,18.372,0.999,0.273,48.844,34.129
5.338,5.416,5.438,5.506,5.424,5.453,5.528,5.475,5.465,5.456,5.387,5.494,5.407,5.503,5.506,5.412,5.478,5.459,5.464,5.473,5.289,5.463,5.494,5.497,5.333,5.503,5.339,5.523,0.146,-0.025,-0.164,-0.105,-0.103,0.095,0.132,0.016,0.01,-0.318,0.036,0.101,-0.175,0.0,0.364,0.123,-0.283,-0.076,0.063,-0.039,0.231,-0.295,-0.056,-0.227,0.014,0.02,-0.117,0.075,-0.364,-0.136,-0.158,0.107,-0.168,-0.036,0.123,-0.086,-0.151,-0.175,-0.267,-0.071,-0.179,0.022,-0.068,-0.155,0.015,-0.122,-0.148,-0.032,-0.449,-0.065,-0.033,0.043,-0.461,-0.013,-0.32,0.035,-2.031,-2.597,-3.402,-3.719,-3.79,-4.021,-4.055,-4.095,-3.103,-4.115,-3.063,-3.914,-3.218,-4.191,-3.921,-3.006,-4.447,-3.984,-3.245,-4.271,-1.858,-3.421,-3.528,-4.215,-1.656,-3.995,-1.523,-4.183,0.932,0.034,18.0,1.0,0.291,52.518,34.863
5.434,5.442,5.419,5.537,5.402,5.458,5.524,5.479,5.402,5.414,5.375,5.453,5.418,5.474,5.476,5.49,5.478,5.477,5.415,5.526,5.323,5.436,5.488,5.537,5.316,5.48,5.327,5.49,0.109,0.101,-0.318,-0.079,-0.067,0.026,-0.004,0.112,0.148,-0.313,0.038,0.11,-0.106,0.038,0.395,0.149,-0.255,-0.103,0.1,-0.009,0.104,-0.226,0.057,-0.236,0.062,0.019,-0.158,0.001,-0.367,-0.178,-0.161,0.087,-0.16,-0.022,0.154,-0.088,-0.161,-0.194,-0.316,-0.07,-0.183,0.002,-0.044,-0.153,0.044,-0.122,-0.119,-0.031,-0.454,-0.081,-0.009,0.076,-0.514,-0.048,-0.378,0.046,-1.679,-2.236,-3.21,-3.625,-3.529,-3.99,-4.03,-4.023,-2.807,-3.799,-2.633,-3.806,-2.679,-3.92,-3.65,-2.779,-4.393,-3.709,-3.114,-4.172,-1.416,-3.33,-3.195,-4.278,-1.443,-3.801,-1.282,-3.918,0.946,0.028,18.519,1.0,0.306,54.986,35.094
5.34,5.384,5.386,5.494,5.417,5.511,5.56,5.477,5.45,5.423,5.387,5.459,5.394,5.496,5.461,5.453,5.477,5.437,5.437,5.515,5.296,5.461,5.475,5.539,5.284,5.495,5.287,5.476,0.158,0.032,-0.204,-0.123,-0.018,-0.025,0.024,0.154,0.072,-0.289,0.042,0.057,-0.066,0.022,0.485,0.026,-0.274,-0.005,-0.001,-0.038,0.128,-0.268,0.084,-0.181,0.009,0.094,-0.042,0.009,-0.446,-0.211,-0.165,0.069,-0.144,-0.05,0.124,-0.078,-0.206,-0.205,-0.35,-0.103,-0.232,0.006,-0.065,-0.117,0.008,-0.129,-0.129,-0.015,-0.5,-0.095,0.012,0.063,-0.541,-0.019,-0.419,0.005,-1.612,-2.308,-3.173,-3.544,-3.579,-3.949,-4.017,-4.106,-2.397,-3.79,-2.62,-3.823,-2.712,-4.02,-3.678,-2.572,-4.606,-3.84,-2.921,-4.128,-1.254,-3.475,-3.25,-4.257,-1.572,-3.754,-1.19,-4.013,0.944,0.034,21.643,1.0,0.312,55.37,35.054
