entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.339,5.396,5.505,5.208,5.217,5.389,5.384,5.413,5.585,5.459,5.44,5.444,5.445,5.422,5.34,5.229,5.471,5.484,5.162,5.371,5.255,5.413,5.213,5.38,5.532,5.335,5.283,5.386,1.035,1.036,0.336,0.356,0.253,-0.77,0.156,-1.329,-0.294,1.558,1.077,0.851,-1.557,-1.001,-0.077,-0.643,-0.422,-0.467,-0.778,-0.732,-0.026,0.145,1.892,-0.274,0.999,-0.548,1.497,1.037,-0.495,-0.379,0.007,-0.852,-0.952,-0.339,-0.324,-0.381,0.135,-0.2,-0.172,-0.162,-0.186,-0.263,-0.424,-0.745,-0.166,-0.137,-0.965,-0.392,-0.761,-0.409,-0.781,-0.299,0.249,-0.444,-0.574,-0.564,-6.988,-6.735,-7.234,-6.648,-7.211,-7.13,-7.158,-7.052,-7.412,-7.042,-7.313,-7.428,-7.056,-6.918,-6.88,-7.099,-7.023,-7.396,-7.068,-6.562,-7.141,-7.388,-6.956,-7.138,-6.824,-7.437,-7.435,-6.921,0.712,0.86,17.576,0.998,0.018,22.085,38.688
5.342,5.386,5.449,5.324,5.273,5.408,5.328,5.409,5.497,5.414,5.419,5.426,5.438,5.426,5.369,5.357,5.417,5.451,5.258,5.412,5.293,5.381,5.277,5.426,5.414,5.415,5.374,5.37,0.714,0.638,0.136,0.279,0.023,-0.426,0.13,-0.756,-0.24,0.738,0.602,0.486,-0.805,-0.623,0.092,-0.385,-0.259,-0.427,-0.518,-0.415,-0.095,0.145,0.943,-0.28,0.663,-0.283,0.783,0.719,-0.491,-0.229,-0.155,-0.576,-0.705,-0.271,-0.34,-0.368,-0.02,-0.264,-0.094,-0.208,-0.151,-0.236,-0.402,-0.396,-0.236,-0.164,-0.66,-0.169,-0.549,-0.297,-0.64,-0.313,-0.028,-0.219,-0.438,-0.339,-5.503,-5.58,-5.986,-5.444,-5.679,-6.034,-5.768,-6.133,-6.273,-5.83,-5.858,-6.062,-6.132,-6.177,-5.538,-5.563,-5.839,-5.995,-5.755,-5.305,-5.53,-5.659,-5.605,-6.011,-5.921,-5.906,-6.41,-5.825,0.82,0.914,18.311,0.991,0.066,15.387,34.888
5.387,5.447,5.485,5.384,5.431,5.438,5.375,5.481,5.485,5.394,5.441,5.468,5.429,5.437,5.392,5.375,5.452,5.435,5.364,5.481,5.416,5.381,5.314,5.38,5.481,5.405,5.445,5.377,0.531,0.541,-0.044,0.23,0.063,-0.256,0.092,-0.498,-0.157,0.472,0.447,0.366,-0.455,-0.568,0.062,-0.266,-0.234,-0.254,-0.475,-0.269,-0.164,0.17,0.659,-0.057,0.461,-0.212,0.704,0.416,-0.417,-0.076,-0.138,-0.299,-0.331,-0.199,-0.262,-0.228,-0.013,-0.191,-0.031,-0.076,-0.105,-0.103,-0.246,-0.215,-0.105,-0.105,-0.375,-0.11,-0.314,-0.208,-0.495,-0.278,-0.018,-0.117,-0.253,-0.187,-4.773,-4.71,-5.134,-4.579,-4.536,-5.022,-5.062,-5.296,-5.534,-4.997,-5.075,-5.344,-5.344,-5.068,-4.625,-4.633,-4.99,-5.25,-5.073,-4.472,-4.965,-4.946,-4.576,-5.183,-5.022,-4.962,-5.233,-5.076,0.894,0.942,15.83,0.997,0.092,12.164,34.543
5.34,5.515,5.421,5.406,5.416,5.396,5.425,5.446,5.507,5.434,5.456,5.477,5.487,5.481,5.418,5.438,5.493,5.431,5.405,5.422,5.396,5.428,5.31,5.423,5.46,5.452,5.412,5.452,0.394,0.399,-0.091,0.118,0.018,-0.305,0.027,-0.412,-0.105,0.339,0.353,0.16,-0.458,-0.488,0.032,-0.061,-0.162,-0.193,-0.327,-0.368,-0.177,0.207,0.407,0.007,0.404,-0.165,0.58,0.347,-0.356,0.004,-0.142,-0.331,-0.23,-0.21,-0.255,-0.199,0.023,-0.144,-0.033,-0.076,-0.058,-0.067,-0.216,-0.113,-0.054,-0.114,-0.298,-0.208,-0.228,-0.186,-0.479,-0.216,-0.046,-0.138,-0.193,-0.196,-4.011,-4.039,-5.042,-3.913,-4.216,-4.31,-4.517,-4.728,-5.067,-4.418,-4.708,-4.639,-4.542,-4.548,-4.152,-4.015,-4.421,-4.913,-4.468,-3.526,-4.078,-4.243,-3.54,-4.721,-4.459,-4.541,-4.674,-4.487,0.9,0.955,19.96,0.999,0.127,11.206,34.855
5.38,5.522,5.434,5.372,5.392,5.408,5.392,5.442,5.488,5.417,5.464,5.517,5.486,5.454,5.387,5.421,5.454,5.472,5.392,5.35,5.436,5.446,5.306,5.41,5.467,5.434,5.421,5.401,0.191,0.562,-0.066,0.105,0.074,-0.217,0.062,-0.388,-0.001,0.334,0.263,0.206,-0.378,-0.433,0.107,-0.09,-0.192,-0.112,-0.202,-0.087,-0.075,0.102,0.257,0.054,0.398,-0.191,0.427,0.267,-0.303,0.028,-0.127,-0.34,-0.222,-0.22,-0.266,-0.157,-0.027,-0.161,-0.031,-0.051,-0.015,-0.005,-0.197,-0.082,-0.057,-0.092,-0.267,-0.259,-0.211,-0.153,-0.529,-0.169,-0.017,-0.124,-0.143,-0.166,-3.879,-3.502,-4.93,-3.501,-3.885,-4.333,-3.936,-4.467,-4.756,-4.109,-4.393,-4.42,-4.178,-4.6,-3.381,-3.627,-4.238,-4.447,-4.074,-2.789,-3.74,-4.016,-2.308,-4.509,-4.075,-4.221,-4.293,-4.278,0.904,0.951,17.479,0.999,0.175,9.092,35.102
5.431,5.495,5.422,5.381,5.415,5.415,5.388,5.411,5.454,5.423,5.441,5.454,5.44,5.478,5.417,5.447,5.46,5.463,5.419,5.283,5.393,5.395,5.337,5.43,5.452,5.426,5.48,5.458,0.203,0.362,-0.106,0.011,0.026,-0.269,0.016,-0.318,0.046,0.268,0.209,0.202,-0.348,-0.438,0.103,-0.048,-0.123,-0.02,-0.127,-0.081,-0.137,0.041,0.173,0.015,0.267,-0.156,0.352,0.27,-0.263,0.012,-0.148,-0.404,-0.278,-0.226,-0.294,-0.175,-0.038,-0.114,-0.045,-0.049,-0.009,0.018,-0.117,-0.117,-0.053,-0.101,-0.267,-0.493,-0.264,-0.169,-0.428,-0.176,-0.02,-0.135,-0.159,-0.138,-3.608,-3.069,-4.534,-2.79,-3.426,-3.924,-3.746,-4.183,-4.432,-3.547,-4.132,-4.096,-4.2,-4.263,-2.727,-2.844,-3.927,-4.336,-3.68,-1.721,-3.443,-3.638,-1.764,-4.35,-3.858,-3.797,-3.995,-3.872,0.912,0.959,19.386,0.999,0.224,7.792,34.269
5.431,5.446,5.448,5.405,5.413,5.417,5.408,5.407,5.532,5.462,5.483,5.5,5.478,5.479,5.346,5.397,5.465,5.472,5.424,5.194,5.431,5.377,5.321,5.416,5.503,5.419,5.508,5.47,0.113,0.275,-0.186,0.014,0.085,-0.337,0.028,-0.36,0.092,0.314,0.339,0.114,-0.245,-0.379,0.153,0.052,-0.071,-0.037,-0.126,-0.109,-0.162,-0.004,0.194,0.036,0.181,-0.09,0.288,0.209,-0.22,-0.026,-0.109,-0.414,-0.339,-0.241,-0.246,-0.216,-0.076,-0.131,-0.018,-0.029,-0.001,0.004,-0.181,-0.152,-0.055,-0.106,-0.23,-0.667,-0.272,-0.17,-0.495,-0.168,0.024,-0.115,-0.107,-0.116,-3.596,-2.929,-4.783,-2.085,-3.429,-3.85,-3.401,-4.377,-4.493,-3.361,-3.963,-4.252,-4.086,-4.356,-2.213,-2.692,-3.73,-4.354,-3.414,-1.327,-3.198,-3.461,-1.432,-4.341,-3.586,-3.595,-3.822,-3.988,0.922,0.963,19.205,1.0,0.277,6.669,34.449
5.431,5.476,5.46,5.352,5.349,5.415,5.457,5.419,5.423,5.477,5.51,5.454,5.466,5.519,5.335,5.355,5.464,5.434,5.377,5.134,5.404,5.378,5.256,5.457,5.493,5.456,5.441,5.462,-0.006,0.222,-0.272,-0.19,0.121,-0.26,-0.058,-0.33,0.116,0.167,0.246,0.084,-0.185,-0.387,0.212,-0.15,0.028,-0.0,-0.081,-0.02,-0.224,0.031,-0.085,0.101,0.137,-0.208,0.238,0.25,-0.144,-0.061,-0.063,-0.469,-0.377,-0.211,-0.18,-0.189,-0.084,-0.129,-0.018,-0.05,0.022,0.013,-0.198,-0.148,-0.039,-0.111,-0.23,-0.858,-0.288,-0.212,-0.554,-0.162,0.042,-0.13,-0.085,-0.142,-3.483,-2.778,-4.671,-1.635,-3.135,-3.832,-3.501,-4.119,-4.53,-3.151,-3.827,-4.182,-4.114,-4.315,-1.811,-2.237,-3.718,-4.48,-3.273,-0.985,-3.069,-3.197,-1.17,-4.405,-3.62,-3.515,-3.712,-3.89,0.914,0.959,18.628,1.0,0.314,5.93,34.654
5.437,5.48,5.448,5.299,5.367,5.473,5.474,5.394,5.459,5.42,5.445,5.482,5.526,5.518,5.303,5.356,5.44,5.463,5.42,5.042,5.383,5.386,5.248,5.423,5.496,5.447,5.389,5.463,-0.031,0.135,-0.181,-0.136,0.13,-0.257,-0.014,-0.23,0.148,0.093,0.216,0.042,-0.022,-0.416,-0.016,-0.072,-0.012,0.049,-0.074,-0.023,-0.192,-0.122,-0.035,0.135,0.092,-0.114,0.195,0.2,-0.138,-0.117,-0.1,-0.51,-0.405,-0.236,-0.197,-0.2,-0.127,-0.174,-0.038,-0.038,0.026,-0.012,-0.271,-0.204,-0.045,-0.158,-0.176,-0.983,-0.31,-0.259,-0.677,-0.188,-0.006,-0.167,-0.112,-0.135,-3.551,-2.504,-4.575,-1.546,-3.264,-3.903,-3.43,-4.166,-4.527,-3.159,-3.887,-4.016,-4.029,-4.247,-1.382,-2.1,-3.715,-4.336,-3.0,-0.941,-3.038,-2.714,-1.186,-4.287,-3.561,-3.405,-3.841,-3.789,0.91,0.959,19.067,1.0,0.367,4.717,34.283
5.425,5.414,5.475,5.297,5.356,5.434,5.418,5.395,5.477,5.424,5.419,5.491,5.493,5.488,5.264,5.294,5.482,5.468,5.422,5.002,5.332,5.361,5.213,5.437,5.463,5.396,5.459,5.471,-0.073,0.246,-0.349,-0.044,0.054,-0.139,-0.103,-0.19,0.191,0.062,0.222,0.024,-0.069,-0.224,-0.089,-0.03,0.016,0.004,0.004,0.049,-0.076,-0.105,-0.062,0.137,-0.006,-0.011,0.195,0.159,-0.086,-0.119,-0.079,-0.448,-0.418,-0.169,-0.189,-0.198,-0.093,-0.122,-0.046,-0.017,0.028,0.006,-0.332,-0.278,-0.074,-0.148,-0.173,-1.059,-0.294,-0.207,-0.685,-0.172,-0.009,-0.173,-0.066,-0.08,-3.359,-2.59,-4.839,-1.398,-3.126,-3.956,-3.273,-4.317,-4.723,-3.002,-3.844,-4.163,-4.108,-4.49,-1.172,-1.923,-3.653,-4.431,-2.497,-0.708,-2.884,-2.322,-1.079,-4.47,-3.654,-3.517,-3.782,-3.772,0.91,0.957,18.289,1.0,0.367,4.785,33.898
