entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.282,5.247,5.502,5.322,5.471,5.186,5.352,5.183,5.281,5.361,5.095,5.303,5.342,5.323,5.336,5.517,5.341,5.353,5.403,5.085,5.295,5.407,5.364,5.322,5.373,5.233,5.197,5.183,0.484,-0.637,0.721,1.133,-0.513,-0.372,0.284,-0.421,-0.981,-0.411,0.382,-0.315,-1.697,-0.387,-0.868,-0.772,0.369,1.307,-0.469,0.751,1.128,-0.894,-0.099,-1.882,-1.188,-1.02,-0.763,0.874,-0.621,-0.806,0.042,-0.636,0.001,-0.808,-0.515,-0.955,-0.621,-0.554,-1.091,-0.548,-0.353,-0.651,-0.586,0.021,-0.502,-0.279,-0.335,-1.261,-0.736,-0.306,-0.585,-0.608,-0.396,-0.733,-0.87,-0.924,-7.619,-7.577,-7.446,-7.377,-7.145,-7.686,-6.978,-7.267,-7.441,-6.806,-7.46,-7.414,-7.458,-7.356,-7.308,-7.152,-7.453,-7.492,-7.815,-7.216,-7.425,-7.502,-7.884,-7.405,-7.762,-7.537,-7.481,-7.238,0.724,0.855,16.428,0.977,0.039,23.215,43.822
5.394,5.323,5.524,5.423,5.454,5.347,5.347,5.293,5.436,5.369,5.318,5.431,5.452,5.381,5.373,5.449,5.394,5.335,5.469,5.214,5.376,5.426,5.445,5.378,5.41,5.4,5.334,5.325,0.343,-0.384,0.528,0.75,-0.194,-0.361,0.325,-0.279,-0.669,-0.137,0.321,-0.257,-1.005,-0.184,-0.534,-0.668,0.276,0.654,-0.2,0.518,0.544,-0.633,-0.133,-1.035,-0.783,-0.517,-0.496,0.641,-0.357,-0.573,0.008,-0.262,-0.182,-0.435,-0.503,-0.573,-0.398,-0.42,-0.607,-0.15,-0.125,-0.407,-0.396,-0.068,-0.105,-0.288,-0.084,-0.805,-0.373,-0.208,-0.258,-0.443,-0.314,-0.36,-0.428,-0.586,-6.004,-6.18,-6.039,-5.931,-5.591,-5.762,-5.618,-5.431,-5.937,-5.571,-6.101,-5.772,-5.989,-5.614,-5.648,-6.007,-5.8,-5.903,-6.06,-5.549,-6.053,-5.852,-6.452,-6.079,-5.672,-5.892,-5.965,-5.729,0.856,0.923,16.472,0.997,0.117,17.23,39.038
5.429,5.374,5.455,5.482,5.413,5.392,5.396,5.422,5.397,5.387,5.45,5.463,5.534,5.463,5.392,5.473,5.492,5.454,5.503,5.344,5.45,5.499,5.425,5.475,5.401,5.417,5.469,5.358,0.255,-0.333,0.358,0.614,-0.07,-0.271,0.261,-0.196,-0.468,-0.108,0.274,-0.188,-0.745,-0.063,-0.342,-0.498,0.204,0.406,-0.117,0.399,0.402,-0.568,-0.087,-0.694,-0.461,-0.363,-0.436,0.516,-0.201,-0.334,0.059,-0.102,-0.196,-0.243,-0.404,-0.349,-0.238,-0.34,-0.286,-0.024,-0.018,-0.21,-0.241,-0.042,0.042,-0.133,0.031,-0.529,-0.169,-0.111,-0.143,-0.272,-0.199,-0.22,-0.141,-0.29,-4.941,-5.261,-5.251,-5.26,-4.766,-5.033,-4.648,-4.277,-5.057,-4.686,-5.056,-4.56,-5.409,-4.603,-4.729,-5.091,-5.116,-5.206,-5.354,-4.463,-5.067,-5.271,-5.592,-5.341,-5.066,-5.189,-5.045,-4.932,0.902,0.954,19.429,0.998,0.189,11.737,35.427
5.479,5.411,5.439,5.447,5.371,5.445,5.374,5.318,5.446,5.357,5.421,5.51,5.493,5.426,5.462,5.428,5.504,5.431,5.477,5.316,5.483,5.446,5.464,5.432,5.463,5.456,5.461,5.443,0.246,-0.256,0.377,0.498,0.021,-0.251,0.145,-0.232,-0.34,-0.07,0.115,-0.152,-0.635,0.132,-0.068,-0.504,0.238,0.25,-0.092,0.268,0.335,-0.485,-0.15,-0.602,-0.386,-0.402,-0.198,0.385,-0.122,-0.226,0.05,-0.06,-0.234,-0.211,-0.378,-0.498,-0.122,-0.415,-0.187,-0.014,0.002,-0.15,-0.163,-0.05,0.082,-0.04,0.022,-0.439,-0.053,-0.117,-0.151,-0.216,-0.197,-0.179,-0.051,-0.195,-4.418,-4.601,-5.073,-4.766,-4.167,-4.387,-3.889,-2.87,-4.451,-3.677,-4.359,-4.126,-5.006,-4.055,-4.038,-4.878,-4.553,-4.76,-4.628,-3.666,-4.749,-4.668,-4.694,-4.849,-4.5,-4.614,-4.193,-4.274,0.908,0.957,19.739,0.998,0.265,10.748,32.751
5.42,5.391,5.507,5.452,5.417,5.479,5.384,5.218,5.482,5.368,5.443,5.468,5.511,5.402,5.472,5.501,5.528,5.476,5.489,5.346,5.461,5.443,5.481,5.503,5.42,5.437,5.493,5.347,0.174,-0.249,0.312,0.367,0.065,-0.183,0.265,-0.116,-0.172,-0.026,0.14,-0.056,-0.502,0.246,0.057,-0.468,0.201,0.2,-0.113,0.303,0.153,-0.374,-0.109,-0.514,-0.31,-0.365,-0.234,0.347,-0.111,-0.244,0.063,-0.094,-0.302,-0.165,-0.359,-0.737,-0.075,-0.404,-0.15,-0.101,0.005,-0.166,-0.143,-0.047,0.075,-0.009,-0.012,-0.386,-0.11,-0.105,-0.168,-0.189,-0.152,-0.185,-0.025,-0.233,-3.944,-4.492,-4.998,-4.67,-3.668,-4.327,-3.324,-1.443,-4.387,-2.919,-4.194,-3.217,-4.706,-3.734,-3.565,-4.614,-4.462,-4.213,-4.373,-3.578,-4.304,-4.286,-4.494,-4.267,-4.164,-4.503,-4.065,-3.79,0.908,0.958,20.022,0.999,0.337,8.132,32.892
5.432,5.418,5.489,5.48,5.389,5.455,5.35,5.143,5.529,5.37,5.452,5.446,5.518,5.45,5.446,5.5,5.482,5.545,5.461,5.333,5.462,5.404,5.423,5.473,5.387,5.404,5.506,5.398,0.153,-0.119,0.401,0.325,0.016,-0.136,0.292,-0.14,-0.105,-0.195,0.109,-0.17,-0.496,0.17,0.036,-0.334,0.14,0.116,-0.054,0.246,0.272,-0.268,-0.111,-0.372,-0.255,-0.241,-0.179,0.243,-0.08,-0.211,0.05,-0.054,-0.338,-0.14,-0.371,-0.873,-0.044,-0.313,-0.113,-0.163,-0.001,-0.12,-0.151,-0.023,0.083,0.022,-0.016,-0.365,-0.091,-0.172,-0.147,-0.149,-0.143,-0.124,0.003,-0.156,-3.804,-4.453,-4.865,-4.426,-2.788,-4.162,-2.515,-1.139,-4.119,-2.075,-4.008,-2.49,-4.68,-3.333,-3.478,-4.473,-4.342,-4.479,-4.318,-2.976,-4.336,-3.99,-4.536,-4.315,-4.126,-4.377,-3.491,-3.707,0.916,0.959,18.881,1.0,0.324,7.454,34.134
5.404,5.401,5.477,5.499,5.391,5.435,5.342,5.011,5.466,5.381,5.475,5.395,5.507,5.445,5.424,5.492,5.527,5.496,5.476,5.323,5.473,5.41,5.444,5.452,5.446,5.464,5.472,5.408,0.221,-0.167,0.394,0.195,-0.004,-0.154,-0.102,-0.13,0.021,-0.126,0.059,-0.104,-0.41,0.073,0.009,-0.32,0.088,-0.02,-0.052,0.173,0.179,-0.162,-0.159,-0.26,-0.129,-0.132,-0.191,0.201,-0.116,-0.247,0.036,-0.099,-0.295,-0.157,-0.458,-1.074,-0.081,-0.395,-0.092,-0.239,-0.003,-0.132,-0.249,-0.055,0.033,0.032,-0.036,-0.431,-0.118,-0.231,-0.16,-0.159,-0.14,-0.093,-0.041,-0.199,-3.479,-4.112,-4.978,-4.255,-2.429,-3.972,-1.73,-0.805,-4.06,-1.684,-3.663,-1.936,-4.417,-2.825,-2.885,-4.279,-4.25,-4.263,-4.137,-2.515,-4.407,-3.585,-4.239,-4.044,-3.842,-4.261,-3.052,-3.346,0.938,0.973,21.387,0.999,0.344,6.857,34.759
5.446,5.409,5.445,5.501,5.364,5.409,5.279,4.946,5.468,5.287,5.472,5.41,5.465,5.426,5.39,5.496,5.471,5.483,5.468,5.264,5.491,5.407,5.414,5.479,5.464,5.49,5.509,5.332,0.223,-0.057,0.381,0.137,-0.065,-0.096,0.079,-0.049,-0.024,0.069,-0.044,-0.06,-0.387,0.047,-0.064,-0.195,-0.012,-0.047,0.015,0.031,0.107,-0.048,-0.113,-0.216,-0.149,-0.051,-0.181,0.188,-0.134,-0.208,0.08,-0.047,-0.238,-0.126,-0.501,-1.142,-0.078,-0.424,-0.053,-0.242,-0.021,-0.097,-0.25,-0.05,0.01,0.02,-0.026,-0.484,-0.107,-0.238,-0.142,-0.136,-0.165,-0.024,-0.057,-0.217,-3.116,-4.054,-5.031,-4.217,-1.978,-3.869,-1.486,-0.733,-3.9,-1.282,-3.578,-1.735,-4.424,-2.4,-2.5,-4.086,-4.134,-4.213,-4.193,-2.035,-4.375,-3.202,-4.227,-3.998,-3.842,-4.014,-2.743,-3.082,0.924,0.962,18.132,1.0,0.363,6.418,34.696
5.412,5.419,5.505,5.441,5.349,5.463,5.276,4.836,5.495,5.275,5.494,5.377,5.488,5.395,5.379,5.483,5.491,5.532,5.488,5.22,5.434,5.432,5.438,5.504,5.447,5.514,5.443,5.361,0.168,-0.051,0.413,0.139,0.117,-0.129,0.12,-0.032,0.066,-0.241,0.029,-0.088,-0.244,-0.061,-0.112,-0.184,0.022,-0.105,0.043,0.066,0.028,-0.089,-0.099,-0.092,-0.137,-0.012,-0.245,0.015,-0.143,-0.177,0.043,-0.028,-0.31,-0.075,-0.563,-1.284,-0.086,-0.514,-0.011,-0.244,0.024,-0.109,-0.264,-0.01,0.024,0.064,-0.011,-0.49,-0.081,-0.18,-0.081,-0.103,-0.156,0.077,-0.091,-0.212,-2.916,-4.107,-5.275,-4.076,-1.807,-3.955,-1.312,-0.699,-3.798,-1.189,-3.404,-1.583,-4.423,-2.189,-2.241,-4.235,-4.027,-4.217,-4.092,-2.092,-4.338,-2.929,-4.295,-3.981,-3.761,-4.152,-2.599,-2.822,0.912,0.96,19.023,1.0,0.392,5.702,34.621
5.389,5.376,5.519,5.487,5.351,5.462,5.207,4.778,5.456,5.281,5.483,5.385,5.497,5.442,5.397,5.55,5.466,5.493,5.472,5.15,5.428,5.394,5.429,5.437,5.427,5.498,5.454,5.345,0.286,-0.083,0.404,0.088,0.034,-0.117,0.02,-0.133,-0.02,-0.036,-0.075,-0.214,-0.199,0.001,-0.056,-0.175,0.052,-0.091,0.039,0.024,0.033,0.0,-0.08,-0.054,-0.113,-0.042,-0.158,-0.017,-0.199,-0.215,0.049,-0.018,-0.313,-0.096,-0.583,-1.438,-0.166,-0.595,-0.021,-0.272,-0.003,-0.156,-0.292,-0.012,-0.017,0.036,-0.047,-0.541,-0.079,-0.191,-0.111,-0.131,-0.148,0.061,-0.16,-0.231,-2.658,-3.997,-5.175,-4.047,-1.667,-3.969,-1.163,-0.634,-3.585,-1.028,-3.277,-1.376,-4.444,-1.699,-1.984,-4.171,-3.998,-4.161,-3.931,-2.006,-4.283,-2.859,-4.502,-3.978,-3.698,-4.146,-2.472,-2.582,0.918,0.96,18.195,1.0,0.387,5.657,34.598
