entropy dim 1,entropy dim 2,entropy dim 3,entropy dim 4,entropy dim 5,entropy dim 6,entropy dim 7,entropy dim 8,entropy dim 9,entropy dim 10,entropy dim 11,entropy dim 12,entropy dim 13,entropy dim 14,entropy dim 15,entropy dim 16,entropy dim 17,entropy dim 18,entropy dim 19,entropy dim 20,entropy dim 21,entropy dim 22,entropy dim 23,entropy dim 24,entropy dim 25,entropy dim 26,entropy dim 27,entropy dim 28,mu dim 1,mu dim 2,mu dim 3,mu dim 4,mu dim 5,mu dim 6,mu dim 7,mu dim 8,mu dim 9,mu dim 10,mu dim 11,mu dim 12,mu dim 13,mu dim 14,mu dim 15,mu dim 16,mu dim 17,mu dim 18,mu dim 19,mu dim 20,mu dim 21,mu dim 22,mu dim 23,mu dim 24,mu dim 25,mu dim 26,mu dim 27,mu dim 28,logvar of mu dim 1,logvar of mu dim 2,logvar of mu dim 3,logvar of mu dim 4,logvar of mu dim 5,logvar of mu dim 6,logvar of mu dim 7,logvar of mu dim 8,logvar of mu dim 9,logvar of mu dim 10,logvar of mu dim 11,logvar of mu dim 12,logvar of mu dim 13,logvar of mu dim 14,logvar of mu dim 15,logvar of mu dim 16,logvar of mu dim 17,logvar of mu dim 18,logvar of mu dim 19,logvar of mu dim 20,logvar of mu dim 21,logvar of mu dim 22,logvar of mu dim 23,logvar of mu dim 24,logvar of mu dim 25,logvar of mu dim 26,logvar of mu dim 27,logvar of mu dim 28,logvar dim 1,logvar dim 2,logvar dim 3,logvar dim 4,logvar dim 5,logvar dim 6,logvar dim 7,logvar dim 8,logvar dim 9,logvar dim 10,logvar dim 11,logvar dim 12,logvar dim 13,logvar dim 14,logvar dim 15,logvar dim 16,logvar dim 17,logvar dim 18,logvar dim 19,logvar dim 20,logvar dim 21,logvar dim 22,logvar dim 23,logvar dim 24,logvar dim 25,logvar dim 26,logvar dim 27,logvar dim 28,perf recon rate,recon rate,perf prefix len,validity,stability,token loss,length
5.583,5.409,5.372,5.45,5.36,5.337,5.419,5.185,5.382,5.329,5.251,5.23,5.231,5.274,5.39,5.32,5.313,5.24,5.103,5.461,5.206,5.4,5.337,5.25,5.171,5.437,5.373,5.311,-0.664,0.871,0.91,-0.166,1.029,0.452,-0.037,1.542,0.255,-1.517,-0.068,-0.782,-0.703,0.736,0.58,0.969,0.593,-0.915,-0.441,0.682,0.585,-0.708,-0.697,0.095,-0.678,1.077,1.539,1.077,0.314,-0.43,-0.268,-0.13,-0.495,-0.453,-0.288,-0.905,-0.372,-0.461,-0.691,-0.898,-0.853,-0.592,-0.278,-0.48,-0.403,-0.804,-1.089,-0.12,-0.975,-0.229,-0.34,-0.524,-0.797,-0.175,-0.287,-0.593,-7.676,-7.824,-7.896,-8.091,-7.812,-7.648,-7.94,-7.472,-8.044,-8.091,-7.889,-8.049,-7.857,-7.899,-7.971,-7.598,-7.963,-8.209,-7.706,-7.891,-7.382,-7.942,-7.714,-7.932,-7.75,-7.835,-7.742,-7.706,0.766,0.106,16.231,0.99,0.03,27.089,30.37
5.539,5.414,5.42,5.492,5.439,5.458,5.42,5.328,5.383,5.421,5.381,5.295,5.278,5.383,5.442,5.266,5.357,5.28,5.255,5.446,5.287,5.426,5.468,5.409,5.301,5.501,5.437,5.369,-0.52,0.474,0.516,-0.242,0.778,0.317,-0.182,0.701,0.343,-0.882,0.024,-0.591,-0.56,0.658,0.395,0.477,0.329,-0.639,-0.182,0.636,0.435,-0.373,-0.438,0.165,-0.588,0.586,0.789,0.779,0.239,-0.3,-0.135,-0.079,-0.276,-0.216,-0.167,-0.461,-0.234,-0.261,-0.454,-0.581,-0.577,-0.286,-0.205,-0.639,-0.321,-0.62,-0.692,-0.094,-0.654,-0.197,-0.167,-0.305,-0.604,0.001,-0.165,-0.453,-5.916,-6.094,-6.156,-6.22,-6.207,-5.841,-5.845,-5.731,-6.253,-6.225,-5.866,-6.116,-5.841,-6.022,-6.286,-5.44,-6.36,-6.201,-6.063,-6.349,-5.674,-5.951,-6.085,-6.167,-6.026,-6.336,-6.098,-5.849,0.896,0.051,17.808,0.99,0.04,27.0,28.72
5.562,5.429,5.479,5.457,5.438,5.45,5.505,5.437,5.468,5.501,5.451,5.41,5.433,5.446,5.424,5.307,5.473,5.37,5.393,5.485,5.386,5.478,5.49,5.486,5.334,5.546,5.512,5.385,-0.432,0.35,0.231,-0.167,0.498,0.346,-0.142,0.469,0.294,-0.585,0.065,-0.41,-0.478,0.583,0.281,0.22,0.271,-0.51,-0.13,0.585,0.384,-0.238,-0.305,0.112,-0.379,0.37,0.475,0.511,0.204,-0.15,0.026,-0.02,-0.093,-0.014,-0.022,-0.149,-0.063,-0.102,-0.208,-0.261,-0.309,-0.091,-0.055,-0.587,-0.184,-0.401,-0.376,-0.07,-0.39,-0.066,-0.055,-0.135,-0.393,0.126,-0.035,-0.245,-5.093,-4.803,-5.43,-5.195,-5.03,-4.956,-5.165,-4.628,-5.092,-5.44,-4.915,-5.123,-4.592,-5.09,-5.399,-4.457,-5.168,-5.077,-4.895,-5.522,-4.605,-5.141,-5.342,-5.283,-5.047,-5.29,-5.143,-4.959,0.912,0.04,16.045,1.0,0.09,20.275,26.97
5.511,5.434,5.474,5.504,5.394,5.483,5.459,5.445,5.476,5.447,5.44,5.437,5.418,5.472,5.479,5.317,5.482,5.471,5.391,5.502,5.409,5.511,5.489,5.448,5.364,5.537,5.43,5.422,-0.446,0.299,0.139,-0.157,0.422,0.29,-0.057,0.373,0.275,-0.406,-0.052,-0.317,-0.273,0.474,0.146,0.174,0.209,-0.282,-0.107,0.514,0.303,-0.209,-0.202,0.036,-0.177,0.322,0.406,0.357,0.052,-0.195,-0.015,-0.045,-0.16,0.047,-0.032,-0.176,-0.04,-0.088,-0.16,-0.233,-0.247,-0.068,-0.074,-0.61,-0.149,-0.272,-0.304,-0.088,-0.286,0.024,-0.043,-0.12,-0.317,0.136,-0.024,-0.213,-4.531,-4.324,-5.038,-5.086,-4.559,-4.37,-4.319,-4.021,-4.507,-4.716,-4.401,-4.488,-3.97,-4.576,-4.982,-3.194,-4.669,-4.663,-4.45,-4.832,-3.879,-4.616,-4.648,-4.656,-4.533,-4.618,-4.375,-4.249,0.94,0.027,16.133,0.97,0.12,25.332,30.73
5.438,5.486,5.481,5.453,5.435,5.51,5.454,5.439,5.479,5.498,5.424,5.46,5.41,5.489,5.493,5.245,5.482,5.447,5.415,5.477,5.368,5.479,5.492,5.474,5.439,5.548,5.493,5.448,-0.352,0.29,0.027,-0.13,0.319,0.253,-0.003,0.325,0.277,-0.306,0.015,-0.255,-0.104,0.406,0.016,0.168,0.106,-0.158,-0.052,0.502,0.303,-0.124,-0.143,-0.058,-0.168,0.27,0.262,0.336,-0.044,-0.169,0.007,-0.039,-0.208,0.087,0.028,-0.247,-0.005,-0.021,-0.16,-0.184,-0.192,-0.022,-0.052,-0.632,-0.101,-0.147,-0.265,-0.101,-0.296,0.029,-0.066,-0.114,-0.259,0.177,-0.004,-0.169,-3.921,-3.973,-4.576,-4.627,-4.28,-4.079,-4.441,-3.191,-4.322,-4.52,-4.075,-4.238,-3.85,-4.493,-4.714,-2.177,-4.307,-4.29,-3.941,-4.813,-3.469,-4.341,-4.488,-4.62,-4.191,-4.35,-3.98,-4.034,0.93,0.037,19.371,1.0,0.31,30.854,28.08
5.459,5.489,5.526,5.479,5.471,5.486,5.471,5.418,5.47,5.516,5.424,5.478,5.459,5.491,5.551,5.277,5.432,5.458,5.42,5.473,5.393,5.501,5.457,5.452,5.406,5.502,5.495,5.46,-0.396,0.21,-0.057,-0.038,0.258,0.179,-0.03,0.209,0.272,-0.229,-0.033,-0.273,-0.1,0.279,0.051,0.099,0.109,-0.167,-0.054,0.508,0.134,-0.009,-0.126,-0.058,-0.103,0.216,0.267,0.227,-0.039,-0.107,0.053,-0.025,-0.172,0.072,0.04,-0.256,0.024,0.067,-0.158,-0.129,-0.148,0.035,-0.033,-0.635,-0.095,-0.134,-0.244,-0.061,-0.29,0.019,-0.072,-0.092,-0.222,0.233,-0.012,-0.137,-3.705,-3.435,-4.758,-4.737,-4.002,-4.013,-4.529,-2.403,-4.152,-4.252,-3.942,-3.919,-3.522,-4.254,-4.547,-1.705,-4.107,-4.112,-3.815,-4.748,-2.882,-4.223,-4.485,-4.375,-4.038,-4.502,-3.65,-3.749,0.954,0.023,18.391,1.0,0.31,42.421,31.15
5.436,5.414,5.5,5.516,5.439,5.461,5.444,5.372,5.476,5.528,5.438,5.434,5.469,5.481,5.462,5.188,5.457,5.421,5.359,5.453,5.347,5.456,5.529,5.462,5.469,5.48,5.501,5.383,-0.414,0.082,-0.098,-0.0,0.297,0.242,-0.023,0.221,0.216,-0.197,0.008,-0.2,-0.122,0.186,-0.021,-0.024,-0.036,-0.086,-0.027,0.387,0.03,-0.012,-0.14,-0.055,-0.045,0.165,0.359,0.18,-0.134,-0.228,0.033,-0.025,-0.207,0.066,0.022,-0.371,0.014,0.064,-0.175,-0.146,-0.164,-0.029,-0.081,-0.671,-0.112,-0.161,-0.296,-0.12,-0.295,-0.03,-0.083,-0.113,-0.149,0.241,-0.059,-0.16,-3.162,-2.839,-4.62,-4.632,-3.632,-3.665,-4.554,-1.844,-3.924,-4.166,-3.532,-3.739,-3.248,-4.308,-4.571,-1.257,-4.126,-4.031,-3.397,-4.43,-2.483,-4.124,-4.315,-4.267,-3.868,-4.55,-3.333,-3.417,0.932,0.038,20.676,1.0,0.32,49.659,32.0
5.394,5.383,5.513,5.452,5.448,5.449,5.518,5.278,5.513,5.507,5.39,5.444,5.472,5.518,5.459,5.184,5.473,5.479,5.362,5.498,5.44,5.447,5.402,5.436,5.516,5.556,5.453,5.481,-0.382,0.114,-0.17,0.045,0.305,0.075,0.027,0.134,0.264,-0.147,0.039,-0.162,0.061,0.185,-0.059,0.019,0.0,-0.003,-0.06,0.384,0.012,0.065,-0.065,0.017,-0.044,0.077,0.159,0.06,-0.19,-0.328,0.036,-0.031,-0.194,0.014,0.051,-0.61,0.054,0.058,-0.189,-0.103,-0.152,-0.003,-0.046,-0.73,-0.072,-0.17,-0.27,-0.078,-0.259,-0.026,-0.07,-0.079,-0.106,0.26,-0.114,-0.095,-2.188,-1.913,-4.392,-4.529,-3.215,-3.32,-4.491,-1.118,-3.763,-3.992,-2.979,-3.51,-3.008,-4.103,-4.385,-1.017,-4.005,-3.983,-3.121,-4.29,-2.31,-4.11,-4.052,-4.16,-3.546,-4.481,-2.818,-3.124,0.936,0.034,19.125,1.0,0.2,36.787,33.2
5.367,5.287,5.503,5.507,5.452,5.4,5.519,5.153,5.513,5.509,5.39,5.47,5.454,5.457,5.48,5.104,5.419,5.363,5.411,5.485,5.453,5.476,5.496,5.476,5.465,5.538,5.437,5.434,-0.291,-0.05,-0.214,0.051,0.197,0.106,0.136,0.095,0.174,-0.063,0.039,-0.1,-0.023,0.07,-0.029,0.004,-0.127,-0.008,0.036,0.258,-0.01,0.106,-0.1,-0.109,-0.067,0.015,0.076,0.051,-0.266,-0.489,0.035,-0.033,-0.217,-0.066,0.078,-0.834,0.026,0.051,-0.213,-0.125,-0.142,-0.005,-0.038,-0.862,-0.085,-0.191,-0.273,-0.08,-0.251,-0.059,-0.105,-0.062,-0.042,0.279,-0.16,-0.102,-1.857,-1.452,-4.433,-4.409,-2.867,-2.868,-4.535,-0.925,-3.907,-4.066,-2.447,-3.614,-2.788,-4.155,-4.403,-0.925,-4.113,-4.015,-2.972,-4.426,-2.283,-4.034,-4.084,-4.278,-3.66,-4.463,-2.57,-2.798,0.944,0.03,20.357,1.0,0.34,59.198,34.56
5.282,5.293,5.487,5.455,5.416,5.4,5.489,5.096,5.447,5.52,5.42,5.467,5.405,5.49,5.484,4.996,5.42,5.436,5.394,5.446,5.427,5.438,5.441,5.464,5.542,5.529,5.479,5.463,-0.184,-0.078,-0.243,0.026,-0.06,0.049,0.17,-0.0,0.108,0.011,0.106,0.01,0.133,0.012,-0.124,-0.066,-0.173,0.024,-0.052,0.16,-0.131,0.156,0.006,-0.172,0.041,0.017,-0.035,-0.027,-0.406,-0.503,0.052,-0.009,-0.16,-0.154,0.076,-1.003,0.051,0.062,-0.21,-0.091,-0.119,0.046,0.006,-0.986,-0.071,-0.127,-0.209,-0.066,-0.254,-0.017,-0.101,-0.027,0.067,0.302,-0.143,-0.054,-1.487,-1.352,-4.467,-4.501,-2.604,-2.756,-4.565,-0.752,-3.705,-3.912,-2.05,-3.606,-2.683,-4.181,-4.428,-0.799,-4.225,-3.933,-3.037,-4.312,-2.138,-4.004,-4.028,-4.072,-3.636,-4.463,-2.45,-2.522,0.942,0.037,21.655,1.0,0.31,55.45,35.22
