,0
0,5.6917986623708146
1,5.724094570275314
2,5.724751006514784
3,5.807297160229851
4,5.878516841988398
5,5.918028431448102
6,5.936260646550107
7,5.946367145547827
8,5.958885662723855
9,5.975985484253038
10,5.992691123283121
11,5.997374230726172
12,6.003942114118498
13,6.00721892055526
14,6.010761612700014
15,6.011731894397459
16,6.014983074564391
17,6.016234077021842
18,6.018437561488913
19,6.018501652602492
20,6.018561132257354
21,6.018613322743812
22,6.025558813661416
23,6.025813280580945
24,6.029926668232554
25,6.032750032359582
26,6.043834652927725
27,6.049080010694972
